id,site_id,site_name,event_name,year,description,lat,lon,cluster
1,1,Galle Fort,Construction of Galle Fort,1588 AD,Originally built by the Portuguese and later fortified by the Dutch as a major maritime stronghold.,6.0265,80.217,0
2,1,Galle Fort,Arrival of Chinese Traders,1400 AD,Chinese merchants exchanged silk and porcelain for Sri Lankan gems and spices at the Galle harbour.,6.0265,80.217,0
3,1,Galle Fort,Dutch Fortification Expansion,1663 AD,"Dutch strengthened ramparts, bastions, and established administrative buildings.",6.0265,80.217,0
4,2,Temple of the Tooth Relic,Arrival of Hemamala and Danta,310 AD,Princess Hemamala and Prince Danta brought the sacred Tooth Relic of Lord Buddha from India to Sri Lanka.,7.2936,80.6413,9
5,2,Temple of the Tooth Relic,Kandyan Convention Signed,1815 AD,The Kandyan Convention of 1815 transferred sovereignty of the Kandyan Kingdom to the British marking the end of the Tooth Relic’s role as a symbol of royal authority.,7.2936,80.6413,9
6,2,Temple of the Tooth Relic,Establishment as Royal Shrine,1592 AD,King Vimaladharmasuriya I enshrined the relic in a special temple in Kandy.,7.2936,80.6413,9
7,3,Jaya Sri Maha Bodhi,Planting of the Jaya Sri Maha Bodhi,288 BC,The sacred Bo sapling from Bodh Gaya was planted in Anuradhapura by Sanghamitta Theri.,8.3458,80.3968,4
8,3,Jaya Sri Maha Bodhi,Reign of King Devanampiyatissa,247 BC,King Devanampiyatissa embraced Buddhism and developed Anuradhapura as the first Buddhist capital.,8.3458,80.3968,4
9,3,Jaya Sri Maha Bodhi,Construction of Bodhighara,249 AD,King Vasabha built protective structure and stone railings.,8.3458,80.3968,4
10,4,Sigiriya Rock Fortress,Construction of Sigiriya Fortress,477 AD,King Kashyapa built the Sigiriya rock citadel as his royal palace and defensive stronghold.,7.957,80.7603,1
11,4,Sigiriya Rock Fortress,Creation of Sigiriya Frescoes,480 AD,The world-famous frescoes depicting celestial maidens were painted on the western rock face.,7.957,80.7603,1
12,4,Sigiriya Rock Fortress,Abandonment and Monastery Use,495 AD,"After Kashyapa’s death, Sigiriya reverted to a Buddhist monastery.",7.957,80.7603,1
13,5,Anuradhapura Sacred City,Founding of Anuradhapura,377 BC,King Pandukabhaya establishes the first capital city of Sinhala kingdom.,8.335,80.4131,4
14,5,Anuradhapura Sacred City,Introduction of Buddhism,247 BC,Mahinda Thero introduced Buddhism to King Devanampiyatissa.,8.335,80.4131,4
15,5,Anuradhapura Sacred City,Construction of Thuparamaya,247 BC,First Buddhist dagoba built in Sri Lanka.,8.335,80.4131,4
16,6,Polonnaruwa Ancient City,Reign of Parakramabahu I,1153 AD,Golden era marked by irrigation advancements including Parakrama Samudra.,7.939,81.0019,1
17,6,Polonnaruwa Ancient City,Construction of Gal Vihara,1155 AD,Rock-cut Buddha statues representing pinnacle of Sinhalese sculpture.,7.939,81.0019,1
18,6,Polonnaruwa Ancient City,Decline After Invasion,1214 AD,Kalinga Magha’s invasion caused abandonment of the capital.,7.939,81.0019,1
19,7,Adam’s Peak (Sri Pada),Buddha’s Sacred Footprint,Unknown,Site revered for footprint believed to be of Lord Buddha.,6.8096,80.4994,9
20,7,Adam’s Peak (Sri Pada),Pilgrimage Tradition Begins,1000 AD,Annual pilgrimage traditions established during ancient monarchs.,6.8096,80.4994,9
21,7,Adam’s Peak (Sri Pada),Construction of Summit Shrine,1400 AD,Kings supported shrine construction on mountain peak.,6.8096,80.4994,9
22,8,Dambulla Cave Temple,First Cave Monastery Origin,103 BC,King Valagamba sheltered here during South Indian invasions.,7.8566,80.6492,1
23,8,Dambulla Cave Temple,Reclining Buddha Statue Creation,100 BC,Early cave sculptures carved during Anuradhapura period.,7.8566,80.6492,1
24,8,Dambulla Cave Temple,Kandyan Paintings Added,1600 AD,Kandyan Kingdom added murals and gilded interiors.,7.8566,80.6492,1
25,9,Kataragama Kiri Vehera,Construction of Stupa,2 AD,Believed built by King Mahasena or regional rulers.,6.4164,81.3324,7
26,9,Kataragama Kiri Vehera,Pilgrimage Rituals Begin,1000 AD,Became syncretic worship site for Buddhists and Hindus.,6.4164,81.3324,7
27,9,Kataragama Kiri Vehera,Royal Patronage Expands,1500 AD,Kings refurbished and expanded religious site.,6.4164,81.3324,7
28,10,Ritigala Forest Monastery,Founding of Aranya Monastery,300 BC,Ancient forest hermitage for ascetic monks.,8.1019,80.6806,1
29,10,Ritigala Forest Monastery,Construction of Stone Paths,100 AD,Massive stone walkways and meditation platforms created.,8.1019,80.6806,1
30,10,Ritigala Forest Monastery,Abandonment After Polonnaruwa Collapse,1300 AD,Monastery fell into disuse after kingdom decline.,8.1019,80.6806,1
31,11,Mihintale,Meeting of Mahinda Thera & King,247 BC,Historic encounter where Buddhism was introduced to Sri Lanka.,8.367,80.515,4
32,11,Mihintale,Construction of Ambasthala Dagoba,247 BC,Built to mark location of the meeting.,8.367,80.515,4
33,11,Mihintale,Hospital Complex Built,250 AD,Ancient hospital with stone beds constructed.,8.367,80.515,4
34,12,Kaludiya Pokuna Monastery,Monastery Establishment,800 AD,Forest monastery used by monks for meditation.,7.9276,80.739,1
35,12,Kaludiya Pokuna Monastery,Stone Inscriptions Carved,900 AD,Donor inscriptions indicating royal support.,7.9276,80.739,1
36,12,Kaludiya Pokuna Monastery,Abandonment During Foreign Raids,1300 AD,Declined due to South Indian invasions.,7.9276,80.739,1
37,13,Lankatilaka Vihara,Construction by Parakramabahu I,1150 AD,Magnificent brick image house with tall Buddha statue.,7.993,80.691,1
38,13,Lankatilaka Vihara,Kandyan Restorations,1600 AD,Kandyan kings repaired murals and brick structures.,7.993,80.691,1
39,13,Lankatilaka Vihara,Collapse of Upper Structure,1800 AD,Earthquakes and neglect damaged upper brickwork.,7.993,80.691,1
40,14,Rankoth Vehera,Construction by Nissanka Malla,1190 AD,Large dagoba symbolizing Polonnaruwa’s architectural mastery.,7.94,81.003,1
41,14,Rankoth Vehera,Restoration Works,1400 AD,Later rulers repaired cracks and plaster.,7.94,81.003,1
42,14,Rankoth Vehera,UNESCO Conservation,1980 AD,Declared part of Polonnaruwa World Heritage Site.,7.94,81.003,1
43,15,Galpotha Stone Inscription,Creation of Giant Inscription,1190 AD,Queen Kalinga Lokeshvara’s lineage recorded in stone.,7.9403,81.0008,1
44,15,Galpotha Stone Inscription,Rediscovery by Archaeologists,1900 AD,Cleared and documented during British period.,7.9403,81.0008,1
45,15,Galpotha Stone Inscription,UNESCO Studies,1990 AD,Recorded as one of largest ancient inscriptions.,7.9403,81.0008,1
46,16,Abhayagiri Vihara,Construction of Stupa,100 BC,Founded by King Valagamba and became major monastic complex.,8.3561,80.3965,4
47,16,Abhayagiri Vihara,Chinese Pilgrim Fa-Hien Visit,411 AD,Fa-Hien documented rituals and monastic life.,8.3561,80.3965,4
48,16,Abhayagiri Vihara,Collapse & Restoration,1400 AD,Earthquakes and wars damaged stupa; partially restored later.,8.3561,80.3965,4
49,17,Jetavanaramaya,Construction of Massive Stupa,273 AD,Built by King Mahasena; one of world’s tallest ancient structures.,8.3533,80.399,4
50,17,Jetavanaramaya,Ritualistic Use Peaks,400 AD,Monks conducted elaborate festivals and gatherings.,8.3533,80.399,4
51,17,Jetavanaramaya,UNESCO Preservation,1990 AD,Stupa consolidated under conservation projects.,8.3533,80.399,4
52,18,Lovamahapaya,Construction of Brazen Palace,150 BC,Queen Anula and King Dutugemunu built 9-story monastery.,8.346,80.3962,4
53,18,Lovamahapaya,Fire Destruction,100 BC,Wooden structure destroyed by fire repeatedly.,8.346,80.3962,4
54,18,Lovamahapaya,Final Abandonment,1200 AD,Ruined after Polonnaruwa period.,8.346,80.3962,4
55,19,Ruwanwelisaya,Construction by Dutugemunu,140 BC,Great stupa representing unification of Sri Lanka.,8.3485,80.3967,4
56,19,Ruwanwelisaya,Plaster & Paint Restorations,1800 AD,Renewed by kings and later by Buddhist monks.,8.3485,80.3967,4
57,19,Ruwanwelisaya,Modern Renovation,1940 AD,Re-plastered and painted white dome seen today.,8.3485,80.3967,4
58,20,Kelaniya Raja Maha Vihara,Visit of Buddha,500 BC,Buddha is believed to have visited Kelaniya after enlightenment.,6.955,79.9227,3
59,20,Kelaniya Raja Maha Vihara,Painting Revival by Solius Mendis,1920 AD,Murals depicting Jataka tales completed.,6.955,79.9227,3
60,20,Kelaniya Raja Maha Vihara,Colonial Restorations,1800 AD,Temple restored after Portuguese destruction.,6.955,79.9227,3
61,21,Isurumuniya,Royal Lovers Sculpture,600 AD,Famous carving depicting royal couple.,8.3359,80.3992,4
62,21,Isurumuniya,Construction by Devanampiyatissa,250 BC,Temple built for newly ordained monks.,8.3359,80.3992,4
63,21,Isurumuniya,Rock Carvings Added,650 AD,Additional carvings of elephants and horseman added.,8.3359,80.3992,4
64,22,Thuparamaya,Construction of First Dagoba,247 BC,Built to enshrine Buddha’s collarbone relic.,8.35,80.388,4
65,22,Thuparamaya,Pandyan Invasion Damage,1300 AD,Destroyed during South Indian invasions.,8.35,80.388,4
66,22,Thuparamaya,Modern Restorations,1850 AD,Rebuilt and restored to current form.,8.35,80.388,4
67,23,Sandahiru Seya,Modern Monument Construction,2010 AD,Built to honor war heroes.,6.765,79.881,3
68,23,Sandahiru Seya,Relic Depositions,2015 AD,Buddhist relics enshrined during ceremonies.,6.765,79.881,3
69,23,Sandahiru Seya,Public Opening,2021 AD,Monument opened for public worship.,6.765,79.881,3
70,24,Matale Aluviharaya,Buddhist Canon Writing,25 AD,Tripitaka first written on ola leaves.,7.4713,80.6236,9
71,24,Matale Aluviharaya,Kandyan Period Renovations,1600 AD,Kings restored cave complex.,7.4713,80.6236,9
72,24,Matale Aluviharaya,Colonial Era Damage,1803 AD,British–Kandyan war caused partial damage.,7.4713,80.6236,9
73,25,Koneswaram Temple,Original Temple Construction,300 BC,Ancient Saivite temple atop Trincomalee cliff.,8.579,81.23,6
74,25,Koneswaram Temple,Chola Reconstruction,1000 AD,Chola dynasty rebuilt temple.,8.579,81.23,6
75,25,Koneswaram Temple,Portuguese Demolition,1622 AD,Temple pushed into sea during colonial conquest.,8.579,81.23,6
76,26,Lahugala Magul Maha Vihara,Royal Wedding Tradition,100 BC,Believed to be site of King Kavantissa & Viharamahadevi’s wedding.,6.8999,81.6662,8
77,26,Lahugala Magul Maha Vihara,Monastic Expansion,200 AD,Temple expanded with stone pillars.,6.8999,81.6662,8
78,26,Lahugala Magul Maha Vihara,Archaeological Rediscovery,1960 AD,Site excavated and identified.,6.8999,81.6662,8
79,27,Yapahuwa Fortress,Construction by King Bhuvanekabahu I,1272 AD,Served briefly as capital and housed Tooth Relic.,7.8176,80.2994,5
80,27,Yapahuwa Fortress,South Indian Invasion,1284 AD,Pandyans captured relic and plundered city.,7.8176,80.2994,5
81,27,Yapahuwa Fortress,Decline After Capital Shift,1300 AD,Abandoned when capital moved.,7.8176,80.2994,5
82,28,Embekke Devalaya,Wooden Drummer Carvings,1350 AD,"Renowned for unique, intricate wood carvings.",7.2427,80.5677,9
